"행정구역","2018년_계_총인구수","2018년_계_연령구간인구수","2018년_계_0~4세","2018년_계_5~9세","2018년_계_10~14세","2018년_계_15~19세","2018년_계_20~24세","2018년_계_25~29세","2018년_계_30~34세","2018년_계_35~39세","2018년_계_40~44세","2018년_계_45~49세","2018년_계_50~54세","2018년_계_55~59세","2018년_계_60~64세","2018년_계_65~69세","2018년_계_70~74세","2018년_계_75~79세","2018년_계_80~84세","2018년_계_85~89세","2018년_계_90~94세","2018년_계_95~99세","2018년_계_100세 이상","2019년_계_총인구수","2019년_계_연령구간인구수","2019년_계_0~4세","2019년_계_5~9세","2019년_계_10~14세","2019년_계_15~19세","2019년_계_20~24세","2019년_계_25~29세","2019년_계_30~34세","2019년_계_35~39세","2019년_계_40~44세","2019년_계_45~49세","2019년_계_50~54세","2019년_계_55~59세","2019년_계_60~64세","2019년_계_65~69세","2019년_계_70~74세","2019년_계_75~79세","2019년_계_80~84세","2019년_계_85~89세","2019년_계_90~94세","2019년_계_95~99세","2019년_계_100세 이상","2020년_계_총인구수","2020년_계_연령구간인구수","2020년_계_0~4세","2020년_계_5~9세","2020년_계_10~14세","2020년_계_15~19세","2020년_계_20~24세","2020년_계_25~29세","2020년_계_30~34세","2020년_계_35~39세","2020년_계_40~44세","2020년_계_45~49세","2020년_계_50~54세","2020년_계_55~59세","2020년_계_60~64세","2020년_계_65~69세","2020년_계_70~74세","2020년_계_75~79세","2020년_계_80~84세","2020년_계_85~89세","2020년_계_90~94세","2020년_계_95~99세","2020년_계_100세 이상"
"강원도  (4200000000)","1,543,052","1,543,052","50,000","62,664","65,948","84,112","98,929","83,962","75,791","99,787","105,296","128,700","127,837","143,798","126,842","80,305","70,180","66,370","42,777","19,546","7,509","1,988","711","1,541,502","1,541,502","47,889","61,667","64,576","79,223","95,994","85,108","75,113","95,556","102,290","126,002","130,059","140,529","134,610","88,478","69,873","66,118","46,187","21,143","8,220","2,073","794","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"강원도 춘천시 (4211000000)","280,640","280,640","10,024","12,610","12,906","16,246","19,333","17,185","15,537","19,978","19,797","24,081","22,873","23,821","20,717","12,072","11,051","10,523","6,996","3,187","1,287","317","99","281,291","281,291","9,676","12,596","12,736","15,238","19,213","17,752","15,528","19,313","19,367","23,460","23,283","23,715","21,769","13,581","10,750","10,494","7,507","3,434","1,433","336","110","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"강원도 원주시 (4213000000)","344,070","344,070","12,754","16,283","17,183","20,432","23,390","20,977","19,626","25,687","26,441","31,226","29,428","29,975","23,468","13,620","10,929","10,644","7,079","3,338","1,209","292","89","349,215","349,215","12,564","16,237","17,194","19,573","23,175","21,853","20,078","25,198","26,287","31,114","30,421","29,747","25,791","15,380","11,004","10,510","7,686","3,671","1,327","299","106","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"강원도 강릉시 (4215000000)","212,957","212,957","6,222","8,290","9,027","11,895","14,150","10,897","9,701","13,439","15,023","18,411","17,503","19,695","17,490","11,853","10,304","8,939","5,870","2,782","1,074","299","93","213,442","213,442","6,017","8,020","8,833","11,381","14,012","11,389","9,507","12,787","14,624","18,308","17,781","19,079","18,591","12,816","10,345","9,086","6,293","2,969","1,200","304","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"강원도 동해시 (4217000000)","91,272","91,272","3,172","4,134","4,271","5,200","5,433","4,198","4,024","6,071","6,991","8,245","7,543","8,178","7,286","4,903","4,209","3,700","2,246","1,012","334","96","26","90,522","90,522","2,824","4,052","4,183","4,901","5,217","4,220","3,827","5,728","6,668","8,229","7,792","7,914","7,629","5,332","4,160","3,822","2,392","1,138","356","109","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"강원도 태백시 (4219000000)","44,858","44,858","1,275","1,838","1,859","2,463","2,401","1,666","1,691","2,909","3,243","3,709","3,657","4,186","4,021","3,081","2,569","2,269","1,269","475","164","64","49","43,866","43,866","1,128","1,734","1,826","2,234","2,268","1,591","1,609","2,615","3,118","3,537","3,706","3,904","4,272","3,211","2,594","2,259","1,405","554","176","69","56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"강원도 속초시 (4221000000)","81,682","81,682","2,739","3,313","3,533","4,668","4,932","4,016","3,992","5,456","5,701","7,377","7,278","7,923","6,802","4,036","3,542","3,029","1,909","908","412","90","26","81,786","81,786","2,638","3,323","3,348","4,424","4,736","4,176","4,035","5,257","5,559","7,091","7,440","7,779","7,164","4,515","3,638","3,067","2,037","943","490","93","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"강원도 삼척시 (4223000000)","68,326","68,326","1,924","2,386","2,417","3,595","5,341","2,993","2,843","3,854","4,401","5,302","5,421","6,565","5,803","4,236","3,658","3,491","2,415","1,146","406","84","45","67,228","67,228","1,834","2,305","2,370","3,240","5,056","2,879","2,691","3,653","4,114","5,218","5,505","6,262","6,097","4,459","3,704","3,496","2,511","1,264","430","94","46","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"강원도 홍천군 (4272000000)","69,949","69,949","2,002","2,399","2,486","3,328","3,518","3,278","2,991","3,729","3,969","5,032","5,880","7,513","7,418","4,519","3,768","3,704","2,692","1,160","419","109","35","69,150","69,150","1,808","2,253","2,440","3,089","3,418","3,165","2,873","3,457","3,759","4,808","5,801","7,323","7,783","5,045","3,798","3,546","2,845","1,335","452","115","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"강원도 횡성군 (4273000000)","46,726","46,726","1,039","1,364","1,544","2,283","2,408","1,837","1,666","2,187","2,328","3,290","3,890","5,278","5,167","3,338","2,883","2,833","1,991","927","349","100","24","46,575","46,575","1,002","1,289","1,509","2,184","2,209","1,836","1,610","2,040","2,188","3,097","3,955","5,090","5,577","3,760","2,858","2,791","2,104","977","377","92","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"강원도 영월군 (4275000000)","39,730","39,730","788","1,085","1,291","1,969","2,177","1,469","1,339","1,837","2,171","3,020","3,398","4,332","4,185","3,023","2,473","2,543","1,604","696","228","61","41","39,127","39,127","726","1,053","1,191","1,841","2,067","1,373","1,288","1,721","2,014","2,868","3,426","4,178","4,357","3,223","2,425","2,499","1,738","768","257","67","47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"강원도 평창군 (4276000000)","42,610","42,610","906","1,306","1,477","1,900","2,011","1,649","1,498","2,152","2,496","3,364","3,752","4,860","4,564","2,978","2,618","2,508","1,526","688","236","86","35","42,106","42,106","850","1,186","1,399","1,738","1,888","1,580","1,467","1,960","2,344","3,182","3,772","4,628","4,912","3,286","2,660","2,401","1,767","703","254","91","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"강원도 정선군 (4277000000)","37,700","37,700","829","1,203","1,251","1,605","1,687","1,363","1,524","2,124","2,384","2,877","3,237","4,165","3,943","2,690","2,293","2,303","1,298","567","240","75","42","37,271","37,271","749","1,147","1,234","1,460","1,653","1,300","1,454","1,919","2,266","2,836","3,281","3,987","4,148","2,850","2,301","2,250","1,437","624","244","85","46","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"강원도 철원군 (4278000000)","46,413","46,413","1,713","1,756","1,962","2,368","3,330","3,300","2,340","2,702","2,824","3,338","3,505","4,110","3,701","2,322","2,467","2,447","1,293","582","247","63","43","45,584","45,584","1,691","1,755","1,830","2,223","3,009","3,129","2,382","2,494","2,675","3,285","3,487","4,027","3,767","2,510","2,440","2,424","1,487","580","286","61","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"강원도 화천군 (4279000000)","25,084","25,084","1,031","944","876","1,097","1,864","2,189","1,565","1,428","1,309","1,661","1,863","2,181","2,012","1,177","1,203","1,348","785","370","123","45","13","24,917","24,917","963","925","861","1,060","1,752","2,189","1,506","1,376","1,300","1,546","1,833","2,183","2,104","1,353","1,185","1,307","894","383","145","37","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"강원도 양구군 (4280000000)","23,408","23,408","990","945","945","1,367","1,740","1,865","1,359","1,418","1,284","1,538","1,672","2,070","1,891","1,036","1,011","1,114","660","334","118","35","16","22,764","22,764","933","954","866","1,269","1,491","1,785","1,285","1,398","1,210","1,436","1,630","2,058","1,956","1,158","958","1,135","723","346","115","41","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"강원도 인제군 (4281000000)","32,136","32,136","1,365","1,334","1,248","1,315","2,035","2,258","1,937","2,189","1,951","2,197","2,425","3,119","2,749","1,576","1,435","1,423","926","417","178","49","10","31,672","31,672","1,295","1,297","1,157","1,235","1,953","2,237","1,860","2,060","1,913","2,074","2,398","3,078","2,921","1,784","1,359","1,408","981","427","172","50","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"강원도 고성군 (4282000000)","28,144","28,144","633","712","803","1,182","1,914","1,711","1,150","1,209","1,397","2,001","2,260","2,981","2,775","1,852","1,847","1,785","1,108","492","250","69","13","27,260","27,260","604","744","753","1,019","1,573","1,596","1,096","1,166","1,287","1,911","2,223","2,774","2,855","2,001","1,804","1,799","1,196","519","260","65","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"강원도 양양군 (4283000000)","27,347","27,347","594","762","869","1,199","1,265","1,111","1,008","1,418","1,586","2,031","2,252","2,846","2,850","1,993","1,920","1,767","1,110","465","235","54","12","27,726","27,726","587","797","846","1,114","1,304","1,058","1,017","1,414","1,597","2,002","2,325","2,803","2,917","2,214","1,890","1,824","1,184","508","246","65","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
